"NR.CRT","Capitol","Subcapitol","Situația Clinică","Tip","Examen","Indicație","Grad Indicație","Comentarii","Alte informații","Doza Min","Doza Max"
256,"Traumatisme","Faţă şi orbite","Traumatism orbitar: leziune produsă de un corp contondent","E","Ecografia orbitelor","Doar cu aviz specializat","B","Bilanțul leziunilor intraoculare.","Ecografia poate fi o alternativă, mai ales atunci când există expertiză locală.",0,0
257,"Traumatisme","Faţă şi orbite","Traumatism orbitar: leziune produsă de un corp contondent","G","Radiografia oaselor feței","Neindicat","?","Sensibilitate redusă.",,1,1
258,"Traumatisme","Faţă şi orbite","Traumatism stâncă temporală","T","CT de stâncă temporală","Indicat","B","Stadializează fractura și permite identificarea complicațiilor (luxații ale lanțului osicular, fracturi ale ferestrelor timpanice sau tegmen timpani, fistula labirintică).",,2,2
259,"Traumatisme","Faţă şi orbite","Traumatism stâncă temporală","M","IRM cerebral","Doar în cazuri particulare","B","Indicat în bilanțul preterapeutic al leziunilor neuro-meningiene temporale asociate.",,0,0
260,"Traumatisme","Faţă şi orbite","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
261,"Traumatisme","Membru inferior","Fractură de stres","G","Radiografie standard","Indicat","B","Doza I sau II în funcție de regiunea anatomică examinată. Deși adesea radiografiile inițiale sunt normale,  radiografiile simple sunt indicate. Uneori se recurge la ecografie pentru vizualizarea fracturilor.","Radiografia este indicată, deși în general nu este cost-eficientă.",1,2
262,"Traumatisme","Membru inferior","Fractură de stres","M","IRM","Neindicat în primă intenție","B","Ca investigație de a doua intenție, permite detectarea leziunilor atunci când radiografiile simple sunt normale.","IRM este cea mai sensibilă și specifică metodă pentru diagnosticul fracturii de stres atunci când radiografia este normală sau echivocă.",0,0
263,"Traumatisme","Membru inferior","Fractură de stres","N","Scintigrafie osoasă","Neindicat în primă intenție","B","Ca investigație de a doua intenție, permite detectarea leziunilor atunci când radiografiile simple sunt normale.","Scintigrafia este o metodă alternativă în cazul fracturilor de stres oculte dar datorită expunerii la radiații trebuie folosită doar pentru pacienții care nu pot efectua IRM, mai ales în cazul controalelor. CT poate fi utilă ca și alternativă la IRM pentru a evidenția modificările osoase dar are sensibilitate mai redusă.",2,2
264,"Traumatisme","Membru inferior","Traumatism al genunchiului","G","Radiografie de genunchi","Doar în cazuri particulare","A","Radiografiile se justifică dacă unul dintre criteriile Otawa este prezent, respectiv: durere localizată la palpare la nivelul capului fibulei sau al patelei; imposibilitatea de flexie a genunchiului la peste 90 de grade; pacient cu vârsta peste 55 de ani; incapacitate de sprijin monopodal sau de a efectua 4 pași dupa traumatism sau în timpul consultației. Dacă este necesar, radiografiile pot fi completate de un examen CT sau IRM.","Radiografia este indicată în cazul traumatismelor închise sau prin cădere, în prezența criteriilor Ottawa. CT, IRM sau ecografia pot fi efectuate pentru a obține informații suplimentare. CT este utilă pentru fracturi intraarticulare, IRM pentru leziuni ligamentare/menisc/leziuni osoase oculte și ecografia pentru anumite leziuni ale mecanismului de extensie și a ligamentului colateral medial.",1,1
265,"Traumatisme","Membru inferior","Traumatism al gleznei","G","Radiografie de gleznă","Doar în cazuri particulare","A","Radiografiile se justifică dacă unul dintre criteriile Otawa este prezent, respectiv : durere localizată a gleznei, la palpare la nivelul feței posterioare a maleolei mediale și laterale, pe o distanță de 6 cm pornind de la vârful maleolelor; pacienți cu vârsta  peste 55 de ani; incapacitate de sprijin monopodal sau incapacitatea de a face 4 pași după traumatism sau în timpul consultației. ","Radiografia este indicată în cazul traumatismelor închise sau prin cădere, în prezența criteriilor Ottawa (incapacitate de sprijin imediată și în departamentul de urgență, sensibilitate dureroasă pe marginea posterioară sau la vârful oricarei maleole) .Leziunile  de părți moi și fracturile oculte pot fi evidențiate de examenul CT, IRM sau ecografic în cazul unei radiografii normale, cu aviz radiologic.",1,1
266,"Traumatisme","Membru inferior","Traumatism al piciorului","G","Radiografia piciorului","Doar în cazuri particulare","A","Radiografiile sunt justificate când unul dintre criteriile Ottawa este prezent: durere osoasă la palpare și/sau incapacitate de sprijin. În cazul radiografiilor neconcludente sau al fracturilor complexe  ale piciorului, este util un examen CT.  ","Evidențierea unei leziuni a antepiciorului rareori afectează managementul terapeutic. De obicei nu este necesară efectuarea radiografiei piciorului și a gleznei în același timp; ambele se efectuează doar în cazul unei suspiciuni întemeiate. Dacă radiografia nu se efectuează și simptomatologia persistă, se recomandă reevaluare la o săptămână.",1,1
267,"Traumatisme","Membru inferior","Traumatism al piciorului","N","Scintigrafia osoasă","Neindicat în primă intenție","B","Ca investigație de a doua intenție, permite detectarea leziunilor, atunci când radiografiile simple sunt normale.","IRM este util pentru diagnosticarea  și clasificarea fracturilor osoase de stres. Pentru leziuni complexe se recomandă examen CT sau IRM.",2,2
268,"Traumatisme","Membru inferior","Traumatism al șoldului","G","Radiografie de șold","Indicat","B","Radiografia de bazin în incidență de față și profil centrată pe articulația șoldului este în general suficientă pentru diagnostic.","Examenul clinic poate fi neconcludent.Trebuie căutate fracturile de col femural, care pot rămâne neevidenţiate la prima radiografie simplă, chiar dacă clişeele (inclusiv incidenţă de profil) sunt de calitate. ",2,2
269,"Traumatisme","Membru inferior","Traumatism al șoldului","M","IRM de șold","Doar în cazuri particulare","B","Examinare de elecție pentru fracturile oculte.","Dacă există suspiciune clinică înaltă și radiografia este normală sau echivocă, se recomanda IRM pentru evidențierea fracturilor femurale proximale oculte sau a leziunilor de părți moi. Scintigrafia osoasă este utilă pentru fracturile de stres dar este mai puțin specifică decât IRM iar la vârstnici devine pozitivă doar după 2-3 zile.",0,0
270,"Traumatisme","Membru inferior","Traumatism al șoldului","T","CT de șold","Doar în cazuri particulare","C","Bilanțul fracturilor incomplete. Performant pentru diagnosticul fracturilor oculte. Ecografia poate fi utilă pentru diagnosticul hemartrozei, înaintea efectuării examenului CT.","CT este  o alternativă atunci când IRM este contraindicat sau în lipsa echipamentului IRM.",3,3
271,"Traumatisme","Membru inferior","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
272,"Traumatisme","Membru superior","Traumatism de cot","G","Radiografie de cot","Indicat","B","Hemartroza poate fi singurul semn radiografic al unei fracturi neevidențiabile pe radiografia standard de față și profil. În locul repetării radiografiei sau a incidențelor speciale, pot fi indicate ecografia/CT/IRM.","Radiografia este cea mai bună investigație inițială pentru a evidenția traiectele de fractură și/sau colecțiile asociate. IRM sau CT pot evidenția fracturile oculte. CT este util pentru caracterizarea fracturilor complexe. IRM este util în special pentru evaluarea leziunilor de stres.",1,1
273,"Traumatisme","Membru superior","Traumatism de pumn ","G","Radiografie de pumn","Indicat","B","Radiografiile în incidențe de față și profil sunt suficiente dacă fractura este evidentă clinic. În caz de dubiu este necesară efectuarea incidențelor speciale (scafoid, pisiform, etc). Ecografia este utilă în depistarea fracturilor oculte prin evidențierea unei colecții intra-articulare.","Dacă se suspicionează o fractură de scafoid este necesară efectuarea a  4 incidențe seriate. Dacă în urma examenului clinic amănunțit și a radiografiei diagnosticul este neconcludent, IRM este acurat și cost-eficient. CT și scintigrafia osoasă pot reprezenta examinări alternative.",1,1
274,"Traumatisme","Membru superior","Traumatism de pumn ","M","IRM de pumn","Doar în cazuri particulare","B","Examen de elecție pentru diagnosticul fracturilor oculte.",,0,0
275,"Traumatisme","Membru superior","Traumatism de pumn ","N","Scintigrafie osoasă","Doar în cazuri particulare","B","Scintigrafia osoasă are indicație secundară, în cazul în care durerile sunt persistente  iar  radiografiile și CT-ul sunt normale.",,2,2
276,"Traumatisme","Membru superior","Traumatism de pumn ","T","CT de pumn","Doar în cazuri particulare","B","Examen de elecție pentru  bilanțul fracturilor. Performant în diagnosticul fracturilor oculte. ",,1,1
277,"Traumatisme","Membru superior","Traumatism de umăr","G","Radiografie de umăr","Indicat","B","Anumite traumatisme au o exprimare semiologică discretă. Trebuie realizate incidențe speciale în funcție de datele clinice. ","Sunt necesare minim 2 incidențe ortogonale.",1,1
278,"Traumatisme","Membru superior","Traumatism de umăr","M","IRM de umăr","Doar în cazuri particulare","B","Imagistica de elecție pentru fracturile oculte și leziunile asociate de părți moi (coafa rotatorilor). O ecografie pentru obiectivarea fisurilor sau a leziunilor tendinoase poate fi luată în considerare înainte de efectuarea IRM.",,0,0
279,"Traumatisme","Membru superior","Traumatism de umăr","T","CT de umăr","Doar în cazuri particulare","B","Complementar, dar adesea indispensabil în vederea indicației chirurgicale.","Ecografia, IRM și CT sunt utile în cazul leziunilor complexe de părți moi.",2,2
280,"Traumatisme","Membru superior","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
281,"Traumatisme","Politraumatism","Politrauma (cu imobilizare prelungita)","I","Filtru vena cava","Indicat","B","Pacientii cu politraume ce impun imobilizarea prelungita la pa, in principal fracturi ale oaselor lungi, bazinului si coloanei vertebrale; Pacientii politrauma ce nu pot primi anticoagulante datorita riscului crescut de sangerare","RI - PB4",1,2
282,"Traumatisme","Politraumatism","Politraumatism","E","Ecografie ","Indicat","B","Examinarea ecografică FAST efectuată în urgenţă la patul pacientului participă în bilanțul inițial pentru îndrumarea pacientului spre blocul operator sau spre embolizare. Ecografia pleurală poate indica drenajul unui epanșament pleural, hemo- sau pneumotorace.","Ecografia țintită poate detecta rapid traumatismele abdominale majore dar nu este la fel de sensibilă ca și CT și nu trebuie să întârzie examinarea CT dacă acesta se poate efectua în urgență.",0,0
283,"Traumatisme","Politraumatism","Politraumatism","G","Radiografie toracică și de bazin","Indicat","B","Radiografia toracică și de bazin în incidență de față sunt indicate pentru excluderea unui epanşament pleural sau a unei fracturi instabile de bazin.Radiografiile coloanei vertebrale  cervicale nu sunt indispensabile dacă coloana este protejată de un guler cervical.","În cazul traumatismelor majore, amenințătoare de viață radiografia toracică este indicată pentru diagnosticul imediat al pneumotoracelui și evaluarea poziției sondei de intubație orotraheale. Fracturile pelvine cu instabilitatea inelului pelvin sunt frecvent asociate cu pierderi sangvine majore. Dacă examenul CT se poate efectua de urgență nu este necesară radiografia cervicală și de bazin.",2,2
284,"Traumatisme","Politraumatism","Politraumatism","T","CT","Indicat","B","Se recomandă efectuarea CT ori de câte ori este posibil, în funcție de starea clinică. Nu trebuie însă să întârzie o intervenție de urgență.","CT este utilă în special pentru exluderea hemoragiei mediastinale și a leziunilor aortice. Examenul CT al întregului corp(whole body) detectează leziuni clinic oculte, înlocuiește nevoia efectuării radiografiilor cervicale și de bazin și crește șansele de supraviețuire în traumatismele majore. IRM poate fi dificil de efectuat la pacienții cu leziuni severe dar poate fi util atunci când există leziuni neurologice posibil datorate leziunilor vertebrale cervicale.",3,4
285,"Traumatisme","Politraumatism","ALTĂ SITUAȚIE CLINICĂ","Z","Situație clinică neîncadrabilă","Este necesară justificare detaliată",,,,,
286,"Traumatisme","Sistem vascular","Politraumatism: hemoragie gravă asociată unei fracturi de bazin – embolizare de urgență","I","Arteriografie cu embolizare","Doar cu aviz specializat","C","Indicată de primă intenție în absența vizualizării ecografice a punctului de plecare a hemoragiei abdominale[C]: în cazul intervenției chirurgicale imediate (politraumatism cu instabilitate hemodinamică), embolizarea poate fi propusă după meșajul preperitoneal (pre-peritoneal packing ), în cazul persistenței sângerării arteriale inaccesibilă chirurgical[C]; este indicată în cazul extravazării substanței de contrast la examenul CT. Embolizarea poate fi proximală (ocluzie hipogastrică uni- sau bilaterală) sau selectivă în funcție de statusul hemodinamic al pacientului, în funcție de pierderile sanguine inițiale, de numărul de surse hemoragice identificate arteriografic[B]; embolizarea ar putea fi repetată în cazul recidivei hemoragice după încetarea vasospasmului[B]; de asemenea este indicată în toate cazurile, fiind importantă stabilizarea pelvină asociată (clampare, fixator extern) înainte de oprirea hemoragiei venoase[C].",,3,4
